YEAR,paper,citations
2017,Position Tracking for Virtual Reality Using Commodity WiFi,77
2017,FFTLasso: Large-Scale LASSO in the Fourier Domain,5
2017,Discriminative Covariance Oriented Representation Learning for Face Recognition with Image Sets,36
2017,Video Captioning with Transferred Semantic Attributes,279
2017,Learning to Learn from Noisy Web Videos,28
2017,CNN-Based Patch Matching for Optical Flow with Thresholded Hinge Embedding Loss,107
2017,Deep Variation-Structured Reinforcement Learning for Visual Relationship and Attribute Detection,223
2017,Online Graph Completion: Multivariate Signal Recovery in Computer Vision,7
2017,Deep Multi-scale Convolutional Neural Network for Dynamic Scene Deblurring,944
2017,Physically-Based Rendering for Indoor Scene Understanding Using Convolutional Neural Networks,220
2017,End-to-End Instance Segmentation with Recurrent Attention,292
2017,Self-Supervised Learning of Visual Features through Embedding Images into Text Topic Spaces,70
2017,Video Segmentation via Multiple Granularity Analysis,12
2017,What's in a Question: Using Visual Questions as a Form of Supervision,14
2017,Anti-Glare: Tightly Constrained Optimization for Eyeglass Reflection Removal,19
2017,Synthesizing Normalized Faces from Facial Identity Features,104
2017,Learning to Rank Retargeted Images,12
2017,Matting and Depth Recovery of Thin Structures Using a Focal Stack,2
2017,Deep Hashing Network for Unsupervised Domain Adaptation,687
2017,Learning by Association — A Versatile Semi-Supervised Training Method for Neural Networks,96
2017,Light Field Blind Motion Deblurring,45
2017,Soft-Margin Mixture of Regressions,18
2017,Truncated Max-of-Convex Models,4
2017,HSfM: Hybrid Structure-from-Motion,75
2017,Look into Person: Self-Supervised Structure-Sensitive Learning and a New Benchmark for Human Parsing,325
2017,Towards a Quality Metric for Dense Light Fields,70
2017,A Wide-Field-of-View Monocentric Light Field Camera,34
2017,Designing Energy-Efficient Convolutional Neural Networks Using Energy-Aware Pruning,591
2017,Beyond Triplet Loss: A Deep Quadruplet Network for Person Re-identification,878
2017,A-Fast-RCNN: Hard Positive Generation via Adversary for Object Detection,455
2017,Lean Crowdsourcing: Combining Humans and Machines in an Online System,36
2017,TGIF-QA: Toward Spatio-Temporal Reasoning in Visual Question Answering,236
2017,"Zero-Shot Learning — The Good, the Bad and the Ugly",481
2017,Temporal Residual Networks for Dynamic Scene Recognition,75
2017,Joint Gap Detection and Inpainting of Line Drawings,19
2017,Temporal Convolutional Networks for Action Segmentation and Detection,631
2017,Online Video Object Segmentation via Convolutional Trident Network,93
2017,Deep Network Flow for Multi-object Tracking,152
2017,Counting Everyday Objects in Everyday Scenes,100
2017,Exploiting Saliency for Object Segmentation from Image Level Labels,142
2017,All You Need is Beyond a Good Init: Exploring Better Solution for Training Extremely Deep Convolutional Neural Networks with Orthonormality and Modulation,112
2017,Deep Image Matting,289
2017,Joint Intensity and Spatial Metric Learning for Robust Gait Recognition,59
2017,Semantically Consistent Regularization for Zero-Shot Recognition,117
2017,Adversarially Tuned Scene Generation,20
2017,Radiometric Calibration from Faces in Images,8
2017,Level Playing Field for Million Scale Face Recognition,153
2017,Borrowing Treasures from the Wealthy: Deep Transfer Learning through Selective Joint Fine-Tuning,173
2017,Coarse-to-Fine Segmentation with Shape-Tailored Continuum Scale Spaces,8
2017,Lip Reading Sentences in the Wild,495
2017,Fine-Tuning Convolutional Neural Networks for Biomedical Image Analysis: Actively and Incrementally,288
2017,Large Margin Object Tracking with Circulant Feature Maps,461
2017,Deep Learning with Low Precision by Half-Wave Gaussian Quantization,342
2017,Split-Brain Autoencoders: Unsupervised Learning by Cross-Channel Prediction,442
2017,Expert Gate: Lifelong Learning with a Network of Experts,254
2017,Deep outdoor illumination estimation,158
2017,High-Resolution Image Inpainting Using Multi-scale Neural Patch Synthesis,626
2017,Neural Face Editing with Intrinsic Image Disentangling,219
2017,Subspace Clustering via Variance Regularized Ridge Regression,49
2017,STD2P: RGBD Semantic Segmentation Using Spatio-Temporal Data-Driven Pooling,74
2017,"A New Rank Constraint on Multi-view Fundamental Matrices, and Its Application to Camera Location Recovery",19
2017,Polyhedral Conic Classifiers for Visual Object Detection and Classification,26
2017,CLKN: Cascaded Lucas-Kanade Networks for Image Alignment,58
2017,Deep Feature Interpolation for Image Content Changes,210
2017,Multiple Instance Detection Network with Online Instance Classifier Refinement,264
2017,L2-Net: Deep Learning of Discriminative Patch Descriptor in Euclidean Space,316
2017,Unsupervised Adaptive Re-identification in Open World Dynamic Camera Networks,37
2017,Scene Graph Generation by Iterative Message Passing,653
2017,Simultaneous Super-Resolution and Cross-Modality Synthesis of 3D Medical Images Using Weakly-Supervised Joint Convolutional Sparse Coding,122
2017,Weakly Supervised Actor-Action Segmentation via Robust Multi-task Ranking,41
2017,Benchmarking Denoising Algorithms with Real Photographs,263
2017,Semantic Autoencoder for Zero-Shot Learning,618
2017,Image Super-Resolution via Deep Recursive Residual Network,1330
2017,Annotating Object Instances with a Polygon-RNN,216
2017,A Reinforcement Learning Approach to the View Planning Problem,27
2017,FC^4: Fully Convolutional Color Constancy with Confidence-Weighted Pooling,152
2017,Not Afraid of the Dark: NIR-VIS Face Recognition via Cross-Spectral Hallucination and Low-Rank Embedding,104
2017,Self-Learning Scene-Specific Pedestrian Detectors Using a Progressive Latent Model,33
2017,Polarimetric Multi-view Stereo,70
2017,Not All Pixels Are Equal: Difficulty-Aware Semantic Segmentation via Deep Layer Cascade,220
2017,Removing Rain from Single Images via a Deep Detail Network,512
2017,Social Scene Understanding: End-to-End Multi-person Action Localization and Collective Activity Recognition,157
2017,Dynamic Edge-Conditioned Filters in Convolutional Neural Networks on Graphs,743
2017,Fine-Grained Recognition as HSnet Search for Informative Image Parts,81
2017,Single Image Reflection Suppression,82
2017,ChestX-Ray8: Hospital-Scale Chest X-Ray Database and Benchmarks on Weakly-Supervised Classification and Localization of Common Thorax Diseases,1892
2017,Enhancing Video Summarization via Vision-Language Embedding,85
2017,Multi-task Correlation Particle Filter for Robust Object Tracking,369
2017,Geometric Deep Learning on Graphs and Manifolds Using Mixture Model CNNs,1166
2017,Domain Adaptation by Mixture of Alignments of Second-or Higher-Order Scatter Tensors,106
2017,DOPE: Distributed Optimization for Pairwise Energies,2
2017,"3D Face Morphable Models ""In-the-Wild""",124
2017,Transformation-Grounded Image Generation Network for Novel 3D View Synthesis,232
2017,Multimodal Transfer: A Hierarchical Deep Convolutional Neural Network for Fast Artistic Style Transfer,117
2017,ScanNet: Richly-Annotated 3D Reconstructions of Indoor Scenes,1228
2017,Predicting Ground-Level Scene Layout from Aerial Imagery,103
2017,Learning to Detect Salient Objects with Image-Level Supervision,483
2017,Noise-Blind Image Deblurring,36
2017,Knowledge Acquisition for Visual Question Answering via Iterative Querying,37
2017,Deep 360 Pilot: Learning a Deep Agent for Piloting through 360° Sports Videos,132
2017,Unsupervised Part Learning for Visual Recognition,18
2017,A Combinatorial Solution to Non-Rigid 3D Shape-to-Image Matching,11
2017,Accurate Optical Flow via Direct Cost Volume Processing,171
2017,StyleBank: An Explicit Representation for Neural Image Style Transfer,318
2017,GuessWhat?! Visual Object Discovery through Multi-modal Dialogue,310
2017,Learning Deep CNN Denoiser Prior for Image Restoration,1121
2017,Deep Learning Human Mind for Automated Visual Classification,124
2017,"Automatic Discovery, Association Estimation and Learning of Semantic Attributes for a Thousand Categories",21
2017,A Non-convex Variational Approach to Photometric Stereo under Inaccurate Lighting,43
2017,Binarized Mode Seeking for Scalable Visual Pattern Discovery,7
2017,Budget-Aware Deep Semantic Video Segmentation,32
2017,Joint Geometrical and Statistical Alignment for Visual Domain Adaptation,320
2017,Deep Supervision with Shape Concepts for Occlusion-Aware 3D Object Parsing,68
2017,FusionSeg: Learning to Combine Motion and Appearance for Fully Automatic Segmentation of Generic Objects in Videos,298
2017,The Amazing Mysteries of the Gutter: Drawing Inferences Between Panels in Comic Book Narratives,64
2017,Deep Affordance-Grounded Sensorimotor Object Recognition,22
2017,"YOLO9000: Better, Faster, Stronger",9895
2017,Reflectance Adaptive Filtering Improves Intrinsic Image Estimation,42
2017,Detecting Oriented Text in Natural Images by Linking Segments,492
2017,Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution,1507
2017,Context-Aware Captions from Context-Agnostic Supervision,115
2017,The World of Fast Moving Objects,28
2017,"Detailed, Accurate, Human Shape Estimation from Clothed 3D Scan Sequences",156
2017,A-Lamp: Adaptive Layout-Aware Multi-patch Deep Convolutional Neural Network for Photo Aesthetic Assessment,135
2017,Weighted-Entropy-Based Quantization for Deep Neural Networks,185
2017,Group-Wise Point-Set Registration Based on Rényi's Second Order Entropy,7
2017,Object-Aware Dense Semantic Correspondence,40
2017,A Compact DNN: Approaching GoogLeNet-Level Accuracy of Classification and Domain Adaptation,36
2017,DSAC — Differentiable RANSAC for Camera Localization,326
2017,Co-occurrence Filter,37
2017,HPatches: A Benchmark and Evaluation of Handcrafted and Learned Local Descriptors,343
2017,From Zero-Shot Learning to Conventional Supervised Classification: Unseen Visual Data Synthesis,119
2017,CDC: Convolutional-De-Convolutional Networks for Precise Temporal Action Localization in Untrimmed Videos,448
2017,Top-Down Visual Saliency Guided by Captions,108
2017,AMC: Attention Guided Multi-modal Correlation Learning for Image Search,26
2017,End-to-End Training of Hybrid CNN-CRF Models for Stereo,99
2017,SCC: Semantic Context Cascade for Efficient Action Detection,77
2017,"GMS: Grid-Based Motion Statistics for Fast, Ultra-Robust Feature Correspondence",316
2017,Semi-Calibrated Near Field Photometric Stereo,23
2017,Weakly Supervised Cascaded Convolutional Networks,226
2017,Multi-way Multi-level Kernel Modeling for Neuroimaging Classification,16
2017,Spatiotemporal Pyramid Network for Video Action Recognition,190
2017,RefineNet: Multi-path Refinement Networks for High-Resolution Semantic Segmentation,2001
2017,Transition Forests: Learning Discriminative Temporal Transitions for Action Recognition and Detection,53
2017,Semantic Image Inpainting with Deep Generative Models,901
2017,Flexible Spatio-Temporal Networks for Video Prediction,77
2017,On Compressing Deep Models by Low Rank and Sparse Decomposition,237
2017,UltraStereo: Efficient Learning-Based Matching for Active Stereo Systems,50
2017,Spatially Adaptive Computation Time for Residual Networks,245
2017,Seeing Invisible Poses: Estimating 3D Body Pose from Egocentric Video,50
2017,Deep MANTA: A Coarse-to-Fine Many-Task Network for Joint 2D and 3D Vehicle Analysis from Monocular Image,297
2017,Deep Future Gaze: Gaze Anticipation on Egocentric Videos Using Adversarial Networks,76
2017,MCMLSD: A Dynamic Programming Approach to Line Segment Detection,44
2017,Discriminative Bimodal Networks for Visual Localization and Detection with Natural Language Queries,33
2017,Learning Deep Binary Descriptor with Multi-quantization,96
2017,Human Shape from Silhouettes Using Generative HKS Descriptors and Cross-Modal Neural Networks,64
2017,Using Ranking-CNN for Age Estimation,170
2017,Bidirectional Beam Search: Forward-Backward Inference in Neural Sequence Models for Fill-in-the-Blank Image Captioning,35
2017,3D Point Cloud Registration for Localization Using a Deep Neural Network Auto-Encoder,163
2017,Video2Shop: Exact Matching Clothes in Videos to Online Shopping Images,42
2017,Recurrent 3D Pose Sequence Machines,99
2017,Infinite Variational Autoencoder for Semi-Supervised Learning,53
2017,Instance-Aware Image and Sentence Matching with Selective Multimodal LSTM,170
2017,Synthesizing 3D Shapes via Modeling Multi-view Depth Maps and Silhouettes with Deep Generative Networks,172
2017,Straight to Shapes: Real-Time Detection of Encoded Shapes,32
2017,Unsupervised Pixel-Level Domain Adaptation with Generative Adversarial Networks,1601
2017,Reflection Removal Using Low-Rank Matrix Completion,54
2017,Asymmetric Feature Maps with Application to Sketch Based Retrieval,25
2017,Video Propagation Networks,181
2017,Fried Binary Embedding for High-Dimensional Visual Features,29
2017,Locality-Sensitive Deconvolution Networks with Gated Fusion for RGB-D Indoor Semantic Segmentation,112
2017,HOPE: Hierarchical Object Prototype Encoding for Efficient Object Instance Search in Videos,12
2017,Real-Time Video Super-Resolution with Spatio-Temporal Networks and Motion Compensation,411
2017,Learning to Predict Stereo Reliability Enforcing Local Consistency of Confidence Maps,45
2017,On the Effectiveness of Visible Watermarks,35
2017,Awesome Typography: Statistics-Based Text Effects Transfer,56
2017,A General Framework for Curve and Surface Comparison and Registration with Oriented Varifolds,34
2017,Person Search with Natural Language Description,196
2017,Detecting Masked Faces in the Wild with LLE-CNNs,156
2017,Improved Stereo Matching with Constant Highway Networks and Reflective Confidence Learning,152
2017,Dual Attention Networks for Multimodal Reasoning and Matching,517
2017,Real-Time 3D Model Tracking in Color and Depth on a Single CPU Core,27
2017,Geometric Loss Functions for Camera Pose Regression with Deep Learning,510
2017,Feedback Networks,164
2017,A Joint Speaker-Listener-Reinforcer Model for Referring Expressions,181
2017,Non-local Deep Features for Salient Object Detection,416
2017,Active Convolution: Learning the Shape of Convolution for Image Classification,140
2017,Surface Motion Capture Transfer with Gaussian Process Regression,9
2017,Richer Convolutional Features for Edge Detection,587
2017,Discover and Learn New Objects from Documentaries,17
2017,Deep Reinforcement Learning-Based Image Captioning with Embedding Reward,275
2017,3D Menagerie: Modeling the 3D Shape and Pose of Animals,127
2017,Adaptive Relaxed ADMM: Convergence Theory and Practical Implementation,34
2017,Multi-level Attention Networks for Visual Question Answering,201
2017,Thin-Slicing Network: A Deep Structured Model for Pose Estimation in Videos,86
2017,Intrinsic Grassmann Averages for Online Linear and Robust Subspace Learning,15
2017,Cognitive Mapping and Planning for Visual Navigation,499
2017,Accurate Depth and Normal Maps from Occlusion-Aware Focal Stack Symmetry,41
2017,Improving Facial Attribute Prediction Using Semantic Segmentation,57
2017,Gated Feedback Refinement Network for Dense Image Labeling,155
2017,Global Hypothesis Generation for 6D Object Pose Estimation,101
2017,Mining Object Parts from CNNs via Active Question-Answering,23
2017,Learning Deep Match Kernels for Image-Set Classification,25
2017,Regressing Robust and Discriminative 3D Morphable Models with a Very Deep Neural Network,373
2017,Temporal Action Localization by Structured Maximal Sums,127
2017,Dynamic Facial Analysis: From Bayesian Filtering to Recurrent Neural Network,78
2017,AnchorNet: A Weakly Supervised Network to Learn Geometry-Sensitive Features for Semantic Matching,53
2017,The Surfacing of Multiview 3D Drawings via Lofting and Occlusion Reasoning,8
2017,Order-Preserving Wasserstein Distance for Sequence Matching,29
2017,A Generative Model for Depth-Based Robust 3D Facial Pose Tracking,13
2017,Zero-Shot Recognition Using Dual Visual-Semantic Mapping Paths,113
2017,Spatio-Temporal Naive-Bayes Nearest-Neighbor (ST-NBNN) for Skeleton-Based Action Recognition,103
2017,Optical Flow Requires Multiple Strategies (but Only One Network),16
2017,Interpretable Structure-Evolving LSTM,77
2017,RON: Reverse Connection with Objectness Prior Networks for Object Detection,355
2017,Viraliency: Pooling Local Virality,24
2017,Semi-Supervised Deep Learning for Monocular Depth Map Prediction,526
2017,Joint Discriminative Bayesian Dictionary and Classifier Learning,31
2017,Learning from Noisy Large-Scale Datasets with Minimal Supervision,324
2017,Unsupervised Learning of Depth and Ego-Motion from Video,1570
2017,Stacked Generative Adversarial Networks,1941
2017,Template-Based Monocular 3D Recovery of Elastic Shapes Using Lagrangian Multipliers,6
2017,Generative Face Completion,476
2017,Fully-Adaptive Feature Sharing in Multi-Task Networks with Applications in Person Attribute Classification,276
2017,Deep Semantic Feature Matching,64
2017,Captioning Images with Diverse Objects,148
2017,Semantically Coherent Co-Segmentation and Reconstruction of Dynamic Scenes,41
2017,Temporal Attention-Gated Model for Robust Sequence Classification,70
2017,Seeing into Darkness: Scotopic Visual Recognition,4
2017,Non-contact Full Field Vibration Measurement Based on Phase-Shifting,4
2017,Spatio-Temporal Self-Organizing Map Deep Network for Dynamic Object Detection from Videos,13
2017,LCNN: Lookup-Based Convolutional Neural Network,79
2017,Reliable Crowdsourcing and Deep Locality-Preserving Learning for Expression Recognition in the Wild,395
2017,Superpixels and Polygons Using Simple Non-iterative Clustering,211
2017,CATS: A Color and Thermal Stereo Benchmark,38
2017,The VQA-Machine: Learning How to Use Existing Vision Algorithms to Answer New Questions,82
2017,Learning Multifunctional Binary Codes for Both Category and Attribute Oriented Retrieval Tasks,30
2017,DUST: Dual Union of Spatio-Temporal Subspaces for Monocular Multiple Object 3D Reconstruction,27
2017,Graph-Structured Representations for Visual Question Answering,253
2017,SCA-CNN: Spatial and Channel-Wise Attention in Convolutional Networks for Image Captioning,1065
2017,Joint Registration and Representation Learning for Unconstrained Face Identification,33
2017,Deep Cross-Modal Hashing,417
2017,Hierarchical Multimodal Metric Learning for Multimodal Classification,18
2017,Relationship Proposal Networks,79
2017,Differential Angular Imaging for Material Recognition,59
2017,Fast Video Classification via Adaptive Cascading of Deep Models,49
2017,Incorporating Copying Mechanism in Image Captioning for Learning Novel Objects,123
2017,Video Acceleration Magnification,69
2017,Image Deblurring via Extreme Channels Prior,181
2017,Making Deep Neural Networks Robust to Label Noise: A Loss Correction Approach,651
2017,Outlier-Robust Tensor PCA,84
2017,3D Shape Segmentation with Projective Convolutional Networks,265
2017,Building a Regular Decision Boundary with Deep Networks,15
2017,Simultaneous Geometric and Radiometric Calibration of a Projector-Camera Pair,12
2017,Unsupervised Semantic Scene Labeling for Streaming Data,5
2017,Deep Unsupervised Similarity Learning Using Partially Ordered Sets,31
2017,Modeling Temporal Dynamics and Spatial Configurations of Actions Using Two-Stream Recurrent Neural Networks,265
2017,Efficient Multiple Instance Metric Learning Using Weakly Supervised Data,11
2017,Crossing Nets: Combining GANs and VAEs with a Shared Latent Space for Hand Pose Estimation,138
2017,Using Locally Corresponding CAD Models for Dense 3D Reconstructions from a Single Image,50
2017,Colorization as a Proxy Task for Visual Understanding,293
2017,An Empirical Evaluation of Visual Question Answering for Novel Objects,26
2017,PoseAgent: Budget-Constrained 6D Object Pose Estimation via Reinforcement Learning,41
2017,Understanding Traffic Density from Large-Scale Web Camera Data,101
2017,A Dataset for Benchmarking Image-Based Localization,37
2017,Pixelwise Instance Segmentation with a Dynamically Instantiated Network,198
2017,Tracking by Natural Language Specification,70
2017,BigHand2.2M Benchmark: Hand Pose Dataset and State of the Art Analysis,203
2017,Multi-modal Mean-Fields via Cardinality-Based Clamping,5
2017,Alternating Direction Graph Matching,28
2017,Distinguishing the Indistinguishable: Exploring Structural Ambiguities via Geodesic Context,21
2017,Semantic Scene Completion from a Single Depth Image,807
2017,Episodic CAMN: Contextual Attention-Based Memory Networks with Iterative Feedback for Scene Labeling,17
2017,Learned Contextual Feature Reweighting for Image Geo-Localization,95
2017,Product Split Trees,10
2017,One-Shot Metric Learning for Person Re-identification,114
2017,Bayesian Supervised Hashing,13
2017,Variational Autoencoded Regression: High Dimensional Regression of Visual Data on Complex Manifold,23
2017,Forecasting Interactive Dynamics of Pedestrians with Fictitious Play,135
2017,Comparative Evaluation of Hand-Crafted and Learned Local Features,210
2017,On Human Motion Prediction Using Recurrent Neural Networks,480
2017,MuCaLe-Net: Multi Categorical-Level Networks to Generate More Discriminating Features,16
2017,BranchOut: Regularization for Online Ensemble Tracking with Convolutional Neural Networks,144
2017,Deep Photo Style Transfer,501
2017,Inverse Compositional Spatial Transformer Networks,124
2017,Learning an Invariant Hilbert Space for Domain Adaptation,104
2017,From Local to Global: Edge Profiles to Camera Motion in Blurred Images,13
2017,Stereo-Based 3D Reconstruction of Dynamic Fluid Surfaces by Global Optimization,27
2017,"Joint Graph Decomposition & Node Labeling: Problem, Algorithms, Applications",112
2017,Learning Barycentric Representations of 3D Shapes for Sketch-Based 3D Shape Retrieval,42
2017,Unsupervised Vanishing Point Detection and Camera Calibration from a Single Manhattan Image with Radial Distortion,26
2017,Generating Holistic 3D Scene Abstractions for Text-Based Image Retrieval,27
2017,Re-ranking Person Re-identification with k-Reciprocal Encoding,1043
2017,Image-to-Image Translation with Conditional Adversarial Networks,11226
2017,LCR-Net: Localization-Classification-Regression for Human Pose,227
2017,Harvesting Multiple Views for Marker-Less 3D Human Pose Annotations,134
2017,Low-Rank-Sparse Subspace Representation for Robust Regression,22
2017,DeMoN: Depth and Motion Network for Learning Monocular Stereo,516
2017,Fine-Grained Image Classification via Combining Vision and Language,95
2017,Local Binary Convolutional Neural Networks,201
2017,Sequential Person Recognition in Photo Albums with a Recurrent Network,27
2017,AMVH: Asymmetric Multi-Valued hashing,28
2017,Learning Detection with Diverse Proposals,21
2017,Adaptive Class Preserving Representation for Image Classification,15
2017,Provable Self-Representation Based Outlier Detection in a Union of Subspaces,84
2017,Correlational Gaussian Processes for Cross-Domain Visual Recognition,17
2017,Dynamic Time-of-Flight,10
2017,Missing Modalities Imputation via Cascaded Residual Autoencoder,79
2017,Multi-view Supervision for Single-View Reconstruction via Differentiable Ray Consistency,384
2017,Commonly Uncommon: Semantic Sparsity in Situation Recognition,26
2017,Deep Representation Learning for Human Motion Prediction and Classification,278
2017,Detecting Visual Relationships with Deep Relational Networks,379
2017,Turning an Urban Scene Video into a Cinemagraph,4
2017,Adversarial Discriminative Domain Adaptation,2717
2017,PoseTrack: Joint Multi-person Pose Estimation and Tracking,174
2017,Quality Aware Network for Set to Set Recognition,269
2017,Deeply Supervised Salient Object Detection with Short Connections,1007
2017,Deep Level Sets for Salient Object Detection,163
2017,Fast Haze Removal for Nighttime Image Using Maximum Reflectance Prior,75
2017,Video Frame Interpolation via Adaptive Convolution,291
2017,Discriminative Optimization: Theory and Applications to Point Cloud Registration,27
2017,SPFTN: A Self-Paced Fine-Tuning Network for Segmenting Objects in Weakly Labelled Videos,41
2017,Robust Energy Minimization for BRDF-Invariant Shape from Light Fields,15
2017,DeshadowNet: A Multi-context Embedding Deep Network for Shadow Removal,121
2017,Sports Field Localization via Deep Structured Models,63
2017,"Analyzing Computer Vision Data — The Good, the Bad and the Ugly",21
2017,4D Light Field Superpixel and Segmentation,38
2017,Emotion Recognition in Context,109
2017,Global Context-Aware Attention LSTM Networks for 3D Action Recognition,440
2017,Aggregated Residual Transformations for Deep Neural Networks,5555
2017,Seeing What is Not There: Learning Context to Determine Where Objects are Missing,25
2017,Learning Features by Watching Objects Move,427
2017,Weakly Supervised Action Learning with RNN Based Fine-to-Coarse Modeling,140
2017,Generating the Future with Adversarial Transformers,145
2017,3D Convolutional Neural Networks for Efficient and Robust Hand Pose Estimation from Single Depth Images,225
2017,Deep Visual-Semantic Quantization for Efficient Image Retrieval,249
2017,"A Low Power, Fully Event-Based Gesture Recognition System",254
2017,EAST: An Efficient and Accurate Scene Text Detector,1020
2017,Learning to Extract Semantic Structure from Documents Using Multimodal Fully Convolutional Neural Networks,142
2017,A Dual Ascent Framework for Lagrangean Decomposition of Combinatorial Problems,21
2017,StyleNet: Generating Attractive Visual Captions with Styles,200
2017,Designing Illuminant Spectral Power Distributions for Surface Classification,5
2017,A Message Passing Algorithm for the Minimum Cost Multicut Problem,24
2017,Designing Effective Inter-Pixel Information Flow for Natural Image Matting,108
2017,Saliency Revisited: Analysis of Mouse Movements Versus Fixations,27
2017,Recurrent Convolutional Neural Networks for Continuous Sign Language Recognition by Staged Optimization,168
2017,Network Dissection: Quantifying Interpretability of Deep Visual Representations,886
2017,Spatio-Temporal Alignment of Non-overlapping Sequences from Independently Panning Cameras,0
2017,FlowNet 2.0: Evolution of Optical Flow Estimation with Deep Networks,2064
2017,Scalable Person Re-identification on Supervised Smoothed Manifold,310
2017,Deep Multitask Architecture for Integrated 2D and 3D Human Sensing,139
2017,One-Shot Video Object Segmentation,678
2017,Neural Scene De-rendering,116
2017,Reconstructing Transient Images from Single-Photon Sensors,80
2017,Improving Training of Deep Neural Networks via Singular Value Bounding,61
2017,Few-Shot Object Recognition from Machine-Labeled Web Images,51
2017,Spatially-Varying Blur Detection Based on Multiscale Fused and Sorted Transform Coefficients of Gradient Magnitudes,51
2017,Collaborative Deep Reinforcement Learning for Joint Object Search,65
2017,Photorealistic Facial Texture Inference Using Deep Neural Networks,108
2017,Switching Convolutional Neural Network for Crowd Counting,654
2017,Binary Coding for Partial Action Analysis with Limited Observation Ratios,27
2017,Dense Captioning with Joint Inference and Visual Context,99
2017,A Deep Regression Architecture with Two-Stage Re-initialization for High Performance Facial Landmark Detection,197
2017,Low-Rank Embedded Ensemble Semantic Dictionary for Zero-Shot Learning,92
2017,Controlling Perceptual Factors in Neural Style Transfer,310
2017,DeepPermNet: Visual Permutation Learning,72
2017,ArtTrack: Articulated Multi-Person Tracking in the Wild,246
2017,Learning a Deep Embedding Model for Zero-Shot Learning,478
2017,AdaScan: Adaptive Scan Pooling in Deep Convolutional Neural Networks for Human Action Recognition in Videos,141
2017,Feature Pyramid Networks for Object Detection,9750
2017,Recurrent Modeling of Interaction Context for Collective Activity Recognition,83
2017,Improving RANSAC-Based Segmentation through CNN Encapsulation,20
2017,Compact Matrix Factorization with Dependent Subspaces,11
2017,Robust Joint and Individual Variance Explained,14
2017,Improving Interpretability of Deep Neural Networks with Semantic Information,87
2017,Spatiotemporal Multiplier Networks for Video Action Recognition,827
2017,Direct Photometric Alignment by Mesh Deformation,39
2017,What is and What is Not a Salient Object? Learning Salient Object Detector by Ensembling Linear Exemplar Regressors,63
2017,Filter Flow Made Practical: Massively Parallel and Lock-Free,6
2017,Instance-Level Salient Object Segmentation,213
2017,Deeply Aggregated Alternating Minimization for Image Restoration,28
2017,Matrix Tri-Factorization with Manifold Regularizations for Zero-Shot Learning,116
2017,SST: Single-Stream Temporal Action Proposals,323
2017,A Hierarchical Approach for Generating Descriptive Image Paragraphs,252
2017,Gaze Embeddings for Zero-Shot Image Classification,96
2017,Simple Does It: Weakly Supervised Instance and Semantic Segmentation,434
2017,Joint Detection and Identification Feature Learning for Person Search,556
2017,Identifying First-Person Camera Wearers in Third-Person Videos,48
2017,A Graph Regularized Deep Neural Network for Unsupervised Image Representation Learning,29
2017,Depth from Defocus in the Wild,33
2017,Are You Smarter Than a Sixth Grader? Textbook Question Answering for Multimodal Machine Comprehension,130
2017,FCSS: Fully Convolutional Self-Similarity for Dense Semantic Correspondence,112
2017,Deep View Morphing,75
2017,Unrolling the Shutter: CNN to Correct Motion Distortions,40
2017,Multi-task Clustering of Human Actions by Sharing Information,23
2017,Nonnegative Matrix Underapproximation for Robust Multiple Model Fitting,14
2017,IRINA: Iris Recognition (Even) in Inaccurately Segmented Data,26
2017,Cross-View Image Matching for Geo-Localization in Urban Environments,96
2017,Towards Accurate Multi-person Pose Estimation in the Wild,566
2017,LSTM Self-Supervision for Detailed Behavior Analysis,48
2017,Adaptive and Move Making Auxiliary Cuts for Binary Pairwise Energies,1
2017,Template Matching with Deformable Diversity Similarity,71
2017,Growing a Brain: Fine-Tuning by Increasing Model Capacity,103
2017,Action-Decision Networks for Visual Tracking with Deep Reinforcement Learning,431
2017,Learning Cross-Modal Embeddings for Cooking Recipes and Food Images,277
2017,"Simultaneous Facial Landmark Detection, Pose and Deformation Estimation Under Facial Occlusion",69
2017,ROAM: A Rich Object Appearance Model with Application to Rotoscoping,4
2017,On the Global Geometry of Sphere-Constrained Sparse Blind Deconvolution,60
2017,3D Human Pose Estimation = 2D Pose Estimation + Matching,391
2017,Fast Boosting Based Detection Using Scale Invariant Multimodal Multiresolution Filtered Features,22
2017,YouTube-BoundingBoxes: A Large High-Precision Human-Annotated Data Set for Object Detection in Video,327
2017,Optical Flow Estimation Using a Spatial Pyramid Network,623
2017,Modeling Relationships in Referential Expressions with Compositional Modular Networks,241
2017,Point to Set Similarity Based Deep Feature Learning for Person Re-Identification,153
2017,Diversified Texture Synthesis with Feed-Forward Networks,178
2017,Deep Multimodal Representation Learning from Temporal Data,71
2017,SRN: Side-Output Residual Network for Object Symmetry Detection in the Wild,65
2017,See the Forest for the Trees: Joint Spatial and Temporal Recurrent Neural Networks for Video-Based Person Re-identification,280
2017,Learning Spatial Regularization with Image-Level Supervisions for Multi-label Image Classification,218
2017,Attend to You: Personalized Image Captioning with Context Sequence Memory Networks,129
2017,Deep Joint Rain Detection and Removal from a Single Image,469
2017,Consistent-Aware Deep Learning for Person Re-identification in a Camera Network,116
2017,Exclusivity-Consistency Regularized Multi-view Subspace Clustering,124
2017,Deep Crisp Boundaries,51
