YEAR,TITLE,citations
2016,L1-regularized Neural Networks are Improperly Learnable in Polynomial Time,96
2016,Compressive Spectral Clustering,107
2016,Low-rank tensor completion: a Riemannian manifold preconditioning approach,87
2016,Provable Non-convex Phase Retrieval with Outliers: Median TruncatedWirtinger Flow,95
2016,Estimating Maximum Expected Value through Gaussian Approximation,33
2016,Representational Similarity Learning with Application to Brain Networks,22
2016,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,4346
2016,Generative Adversarial Text to Image Synthesis,2295
2016,Dirichlet Process Mixture Model for Correcting Technical Variation in Single-Cell Gene Expression Data,98
2016,Improved SVRG for Non-Strongly-Convex or Sum-of-Non-Convex Objectives,175
2016,Sparse Parameter Recovery from Aggregated Data,5
2016,Deep Structured Energy Based Models for Anomaly Detection,297
2016,Even Faster Accelerated Coordinate Descent Using Non-Uniform Sampling,160
2016,Unitary Evolution Recurrent Neural Networks,529
2016,Markov Latent Feature Models,917
2016,The Knowledge Gradient for Sequential Decision Making with Stochastic Binary Feedbacks,21
2016,A Simple and Provable Algorithm for Sparse Diagonal CCA,11
2016,Quadratic Optimization with Orthogonality Constraints: Explicit Lojasiewicz Exponent and Linear Convergence of Line-Search Methods,37
2016,Normalization Propagation: A Parametric Technique for Removing Internal Covariate Shift in Deep Networks,116
2016,Learning to Generate with Memory,36
2016,Learning End-to-end Video Classification with Rank-Pooling,86
2016,Learning to Filter with Predictive State Inference Machines,47
2016,A Subspace Learning Approach for High Dimensional Matrix Decomposition with Efficient Column/Row Sampling,33
2016,DCM Bandits: Learning to Rank with Multiple Clicks,72
2016,"Train faster, generalize better: Stability of stochastic gradient descent",752
2016,"Copeland Dueling Bandit Problem: Regret Lower Bound, Optimal Algorithm, and Computationally Efficient Algorithm",23
2016,Contextual Combinatorial Cascading Bandits,88
2016,Conservative Bandits,67
2016,Variance-Reduced and Projection-Free Stochastic Optimization,140
2016,Factored Temporal Sigmoid Belief Networks for Sequence Learning,14
2016,False Discovery Rate Control and Statistical Quality Assessment of Annotators in Crowdsourced Ranking,7
2016,Strongly-Typed Recurrent Neural Networks,59
2016,Distributed Clustering of Linear Bandits in Peer to Peer Networks,108
2016,Collapsed Variational Inference for Sum-Product Networks,45
2016,On the Analysis of Complex Backup Strategies in Monte Carlo Tree Search,14
2016,Benchmarking Deep Reinforcement Learning for Continuous Control,1328
2016,K-Means Clustering with Distributed Dimensions,10
2016,Texture Networks: Feed-forward Synthesis of Textures and Stylized Images,724
2016,Fast Constrained Submodular Maximization: Personalized Data Summarization,105
2016,On the Statistical Limits of Convex Relaxations,6
2016,Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,1168
2016,Gossip Dual Averaging for Decentralized Optimization of Pairwise Functions,67
2016,Solving Ridge Regression using Sketched Preconditioned SVRG,37
2016,Cumulative Prospect Theory Meets Reinforcement Learning: Prediction and Control,49
2016,Estimating Accuracy from Unlabeled Data: A Bayesian Approach,24
2016,Non-negative Matrix Factorization under Heavy Noise,17
2016,Extreme F-measure Maximization using Sparse Probability Estimates,89
2016,Auxiliary Deep Generative Models,395
2016,Importance Sampling Tree for Large-scale Empirical Expectation,20
2016,Starting Small - Learning with Adaptive Sample Sizes,40
2016,Deep Gaussian Processes for Regression using Approximate Expectation Propagation,187
2016,DR-ABC: Approximate Bayesian Computation with Kernel-Based Distribution Regression,31
2016,Predictive Entropy Search for Multi-objective Bayesian Optimization,143
2016,Rich Component Analysis,254
2016,Black-Box Alpha Divergence Minimization,176
2016,One-Shot Generalization in Deep Generative Models,235
2016,Optimal Classification with Multivariate Losses,8
2016,A ranking approach to global optimization,10
2016,Parallel and Distributed Block-Coordinate Frank-Wolfe Algorithms,37
2016,Autoencoding beyond pixels using a learned similarity metric,1496
2016,Ensuring Rapid Mixing and Low Bias for Asynchronous Gibbs Sampling,50
2016,Simultaneous Safe Screening of Features and Samples in Doubly Sparse Modeling,35
2016,Anytime optimal algorithms in stochastic multi-armed bandits,51
2016,Bounded Off-Policy Evaluation with Missing Data for Course Recommendation and Curriculum Design,20
2016,On collapsed representation of hierarchical Completely Random Measures,2
2016,From Softmax to Sparsemax: A Sparse Model of Attention and Multi-Label Classification,360
2016,Black-box Optimization with a Politician,7
2016,Gaussian process nonparametric tensor estimator and its minimax optimality,21
2016,No-Regret Algorithms for Heavy-Tailed Linear Bandits,18
2016,Extended and Unscented Kitchen Sinks,8
2016,Matrix Eigen-decomposition via Doubly Stochastic Riemannian Optimization,4
2016,Recommendations as Treatments: Debiasing Learning and Evaluation,254
2016,ForecastICU: A Prognostic Decision Support System for Timely Prediction of Intensive Care Unit Admission,43
2016,An optimal algorithm for the Thresholding Bandit Problem,94
2016,Fast Parameter Inference in Nonlinear Dynamical Systems using Iterative Gradient Matching,23
2016,Structured and Efficient Variational Deep Learning with Matrix Gaussian Posteriors,189
2016,Learning Granger Causality for Hawkes Processes,154
2016,Neural Variational Inference for Text Processing,475
2016,Dictionary Learning for Massive Matrix Factorization,59
2016,Pixel Recurrent Neural Networks,1654
2016,"Why Most Decisions Are Easy in Tetris—And Perhaps in Other Sequential Decision Problems, As Well",19
2016,Gaussian quadrature for matrix inverse forms with applications,20
2016,Train and Test Tightness of LP Relaxations in Structured Prediction,18
2016,Stochastic Optimization for Multiview Representation Learning using Partial Least Squares,27
2016,Hierarchical Compound Poisson Factorization,31
2016,Opponent Modeling in Deep Reinforcement Learning,183
2016,No penalty no tears: Least squares in high-dimensional linear models,13
2016,SDNA: Stochastic Dual Newton Ascent for Empirical Risk Minimization,88
2016,On Graduated Optimization for Stochastic Non-Convex Problems,80
2016,Meta-Learning with Memory-Augmented Neural Networks,1272
2016,The knockoff filter for FDR control in group-sparse and multitask regression,38
2016,Softened Approximate Policy Iteration for Markov Games,27
2016,Stochastic Block BFGS: Squeezing More Curvature out of Data,138
2016,Differential Geometric Regularization for Supervised Learning of Classifiers,4
2016,Exploiting Cyclic Symmetry in Convolutional Neural Networks,269
2016,Graying the black box: Understanding DQNs,184
2016,The Sum-Product Theorem: A Foundation for Learning Tractable Models,27
2016,Pareto Frontier Learning with Expensive Correlated Objectives,36
2016,Asynchronous Methods for Deep Reinforcement Learning,5884
2016,A Simple and Strongly-Local Flow-Based Method for Cut Improvement,27
2016,Nonlinear Statistical Learning with Truncated Gaussian Graphical Models,13
2016,Barron and Cover’s Theory in Supervised Learning and its Application to Lasso,7
2016,Nonparametric Canonical Correlation Analysis,69
